name,dob,hand,type,bat_var
Graeme Smith,01/02/1981,Left,Batter,19,0
Alviro Petersen,25/11/1980,Right,Batter,18,0
Hashim Amla,31/03/1983,Right,Batter,17,0
Jacques Kallis,16/10/1975,Right,All Rounder,15,15
AB de Villiers,17/02/1984,Right,Wicket Keeper,16,0
Jacques Rudolph,04/05/1981,Left,Batter,14,0
Vernon Philander,24/05/1985,Right,All Rounder,13,0
Dale Steyn,27/04/1983,Right,Bowler,10,20
Rory Kleinveldt,15/03/1983,Right,Bowler,9,16
Morne Morkel,06/10/1984,Right,Bowler,8,19
Jean-Paul Duminy,14/04/1984,Right,Bowler,5,17
